product_clean,meddra_pt,first_signal_yq,first_signal_idx,max_cusum
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B) EFFERVESCENT TABLET",Dependence,2012-Q2,42,5.43684210526316
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,Dependence,2012-Q2,42,8.78947368421053
BURN,Diarrhoea,2017-Q3,63,7.57894736842105
BURN,Nausea,2017-Q2,62,10.4526315789474
BURN,Vomiting,2017-Q2,62,8.53684210526316
CALTRATE 600 + VITAMIN D,Choking,2019-Q1,69,8.89473684210526
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",Choking,2013-Q4,48,8.16842105263158
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",Dysphagia,2015-Q4,56,6.60526315789474
CENTRUM SILVER,Choking,2017-Q4,64,14.9736842105263
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2011-Q2,38,15.1168236522457
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Coeliac Disease,2011-Q2,38,7.13157894736842
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2011-Q2,38,13.2231029526168
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,2011-Q3,39,8.89473684210526
CENTRUM SILVER ADULTS 50+,Dysphagia,2019-Q1,69,5.76315789473684
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q3,47,17.4330964344063
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2013-Q4,48,18.4966106270299
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,Choking,2014-Q1,49,12.0935820713546
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,Dysphagia,2014-Q3,51,7.21578947368421
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q3,47,9.45263157894737
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2013-Q4,48,5.21578947368421
CENTRUM SILVER MEN 50 PLUS,Foreign Body In Throat,2024-Q4,92,10.7105263157895
CENTRUM SILVER MEN'S 50+,Choking,2018-Q2,66,13.5421052631579
CENTRUM SILVER MEN'S 50+,Dysphagia,2018-Q2,66,9.24736842105263
CENTRUM SILVER MEN'S 50+,Foreign Body,2020-Q1,73,6.78947368421053
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2013-Q2,46,16.7007855186774
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Coeliac Disease,2016-Q3,59,6.88947368421053
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2014-Q1,49,9.7
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,Choking,2012-Q1,41,9.96315789473684
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,Choking,2011-Q4,40,14.735504111349
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,2012-Q1,41,7.93157894736842
CENTRUM SILVER ULTRA WOMEN'S,Choking,2011-Q2,38,14.5971943268197
CENTRUM SILVER ULTRA WOMEN'S,Dysphagia,2012-Q3,43,8.42105263157895
CENTRUM SILVER ULTRA WOMEN'S,Foreign Body Trauma,2012-Q3,43,5.68947368421053
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERAL, MULTIVITAMINS) TABLET",Choking,2011-Q2,38,10.0894736842105
CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS MULTIVITAMINS) TABLET,Choking,2012-Q3,43,6.24736842105263
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,2011-Q2,38,14.5545565382375
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,2011-Q3,39,14.4015236685289
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,2011-Q3,39,14.8197139546839
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Retching,2013-Q3,47,5.11052631578947
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Throat Irritation,2011-Q3,39,8.07894736842105
CENTRUM SILVER ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,Choking,2012-Q2,42,12.8494712709219
CENTRUM SILVER ULTRA WOMEN'S MULTIMINERALS MULTIVITAMINS TABLET,Dysphagia,2012-Q2,42,11.2842105263158
CENTRUM SILVER ULTRA WOMEN'S TABLET,Choking,2011-Q2,38,6.21578947368421
