product_clean,base_name,n_signals,total_cases
CITRACAL REGULAR (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,CITRACAL REGULAR,1,4
CITRACAL SLOW RELEASE 1200,CITRACAL SLOW,4,65
CITRACAL SLOW RELEASE,CITRACAL SLOW,1,3
CITRACAL SLOW RELEASE 1200 BAYER,CITRACAL SLOW,1,3
CLEANSE FOR LIFE,CLEANSE FOR,2,10
CLEANSE FOR LIFE LIQUID,CLEANSE FOR,2,6
DS 01 DAILY PROBIOTIC PLUS PREBIOTIC SUPPLEMENT,DS 01,1,4
DS 01 DAILY SYNBIOTIC SUPPLEMENT,DS 01,1,4
"EMERGEN-C (ASCORBIC ACID, B-COMPLEX, ELECTROLYTE, MULTIMINERAL, MULTIVIT, ZINC) POWDER FOR ORAL SOLUTION",EMERGENC ASCORBIC,5,22
"EMERGEN-C (ASCORBIC ACID, B-COMPLEX, ELECTROLYTE, MULTIMINERALS, MULTIVIT, ZINC) POWDER FOR ORAL SOLUTION",EMERGENC ASCORBIC,2,12
EMERGEN-C ASCORBIC ACID B-COMPLEX ELECTROL YTE MUL TIMINERAL MUL TIVIT ZINC POWDER FOR,EMERGENC ASCORBIC,2,6
EMERGEN-C ASCORBIC ACID B-COMPLEX ELECTROLYTE MULTIMINERAL MULTIVITAMIN ZINC POWDER FOR ORAL SOLUTION,EMERGENC ASCORBIC,2,6
ENDLESS YOUTH VITAMIN SUPPLEMENT,ENDLESS YOUTH,4,14
ENDLESS YOUTH DIETARY SUPPLEMENT 30 DAY KIT,ENDLESS YOUTH,1,3
ENFAMIL D-VI-SOL,ENFAMIL DVISOL,2,8
ENFAMIL D-VI-SOL LIQUID VITAMIN D SUPPLEMENT,ENFAMIL DVISOL,1,3
ESTER-C 24 HOUR IMMUNE SUPPORT 1000MG COATED TABLETS,ESTERC 24,4,17
ESTER-C 24 HOUR IMMUNE SUPPORT,ESTERC 24,3,13
EU NATURAL CONCEPTION FOR HER FERTILITY AID AND MULTI,EU NATURAL,2,20
EU NATURAL CONCEPTION FOR HER,EU NATURAL,1,5
EXTENZE PLUS,EXTENZE PLUS,13,78
EXTENZE PLUS MALE ENHANCEMENT,EXTENZE PLUS,2,7
FERROUS SULFATE,FERROUS SULFATE,3,11
FERROUS SULFATE (NCH) (FERROUS SULFATE) UNKNOWN,FERROUS SULFATE,1,3
FLINSTONES COMPLETE (MULTIVITAMINS) CHEWABLE TABLET,FLINSTONES COMPLETE,2,11
