product_clean,meddra_pt,in_era1,in_era2,a,prr,n_methods
CITRACAL MAXIMUM,Retching,FALSE,TRUE,18,4.58827646544182,4
KRATOM,Depression,FALSE,TRUE,18,5.87171641791045,4
ONE A DAY WOMEN'S 50 PLUS HEALTHY ADVANTAGE,Foreign Body,FALSE,TRUE,18,6.74872967479675,4
ONE A DAY WOMEN'S 50+ ADVANTAGE,Choking,FALSE,TRUE,18,6.91721567267684,4
CENTRUM,Choking,FALSE,TRUE,17,2.31009331156234,3
CENTRUM SILVER WOMEN 50 PLUS,Foreign Body In Throat,FALSE,TRUE,17,47.2634824414716,4
KRATOM,Brain Oedema,FALSE,TRUE,17,159.235357142857,4
PRESERVISION AREDS 2 FORMULA SOFT GELS,Visual Impairment,FALSE,TRUE,17,6.30719685173126,4
ARBONNE ESSENTIALS DAILY FIBER BOOST,Hypersensitivity,FALSE,TRUE,16,8.51475475475476,4
ARBONNE ESSENTIALS DIGESTION PLUS,Dyspnoea,FALSE,TRUE,16,4.62046405477368,4
CENTRUM SILVER MEN'S 50+,Dysphagia,FALSE,TRUE,16,3.9513463635601,4
CITRACAL MAXIMUM,Oropharyngeal Pain,FALSE,TRUE,16,3.98434947768281,4
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Dysphagia,FALSE,TRUE,16,11.5401438068105,4
EU NATURAL CONCEPTION FOR HER FERTILITY AID AND MULTI,Abortion Spontaneous,FALSE,TRUE,16,138.218181818182,4
KRATOM,Insomnia,FALSE,TRUE,16,2.27073593073593,3
NUTRAFOL WOMENS BALANCE HAIR GROWTH NUTRACEUTICAL,Nausea,FALSE,TRUE,16,2.05666666666667,3
ONE A DAY WOMEN'S 50 PLUS HEALTHY ADVANTAGE,Foreign Body In Throat,FALSE,TRUE,16,17.9966124661247,4
RITUAL SYNBIOTIC PLUS PREBIOTIC PROBIOTIC POSTBIOTIC,Gastrointestinal Disorder,FALSE,TRUE,16,78.0205278592376,4
AG1 WHOLE FOOD POUCH 360G NON SPECIFIC,Aspartate Aminotransferase Increased,FALSE,TRUE,15,27.7201170242407,4
ALL DAY ENERGY GREENS,Gastrointestinal Disorder,FALSE,TRUE,15,8.56360927581293,4
ARBONNE ESSENTIALS HERBAL DETOX TEA,Hypersensitivity,FALSE,TRUE,15,8.75480230949924,4
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - VANILLA,Hypersensitivity,FALSE,TRUE,15,9.2044589074292,4
CENTRUM SILVER MEN 50 PLUS,Foreign Body In Throat,FALSE,TRUE,15,53.9331081081081,4
CITRACAL,Foreign Body,FALSE,TRUE,15,6.77562468128506,4
CITRACAL MAXIMUM (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Dysphagia,FALSE,TRUE,15,11.3091321610891,4
FLORASTOR (SACCHAROMYCES BOULARDII LYOPHILISED),Fungaemia,FALSE,TRUE,15,1108.70833333333,4
KRATOM,Tremor,FALSE,TRUE,15,2.35290071770335,3
MODERE BURN,Diarrhoea,FALSE,TRUE,15,3.05482698325051,3
PRESERVISION AREDS 2 FORMULA,Foreign Body,FALSE,TRUE,15,3.14284020862968,3
ALL DAY ENERGY GREENS FRUITY,Gastrointestinal Disorder,FALSE,TRUE,14,13.1396814159292,4
ARBONNE ESSENTIALS PROTEIN SHAKE MIX - CHOCOLATE,Dyspnoea,FALSE,TRUE,14,5.55549253731343,4
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body,FALSE,TRUE,14,4.85020675980642,4
CITRACAL MAXIMUM (CHOLECALCIFEROL +CALCIUM CITRATE) FILM-COATED TABLET,Choking,FALSE,TRUE,14,7.91837428790069,4
CITRACAL SLOW RELEASE 1200,Foreign Body,FALSE,TRUE,14,5.39923347173427,4
KRATOM,Hyperhidrosis,FALSE,TRUE,14,2.30061403508772,3
