product_clean,meddra_pt,crude_ror,adjusted_or,adj_or_lower,adj_or_upper,adj_p_value,adj_significant,or_ratio,direction_change,magnitude_change
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,23.9588101965411,12.5981676676422,9.86277231574998,16.246889971872,2.76232898626178e-88,TRUE,0.525826097552247,Consistent direction,Substantial (>50% change)
CITRACAL MAXIMUM,Choking,14.5255553593621,8.3825195966601,6.38642399359262,11.0962586206439,1.45543236333683e-51,TRUE,0.577087718113122,Consistent direction,Substantial (>50% change)
SUPER BETA PROSTATE,Blood Urine Present,49.5087282958903,25.7984515082096,19.5476024124161,34.1326970722736,7.98527718397313e-116,TRUE,0.521088955345903,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Dysphagia,15.7574002405521,8.80807904675044,7.08378710813195,10.9427311300968,9.29118960284237e-86,TRUE,0.558980473446541,Consistent direction,Substantial (>50% change)
KRATOM,Death,34.4098968304129,29.2942829107184,23.0411913460719,37.2430711005694,1.61765375949074e-167,TRUE,0.851333064295238,Consistent direction,Minimal (<20% change)
CITRACAL PETITES,Choking,14.0007860512009,8.36731841635842,5.80425096933351,12.2599579065614,6.12128964537503e-29,TRUE,0.5976320462122,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER WOMEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",Foreign Body Trauma,14.5078582398928,7.89649212988866,6.11057815458136,10.1288531987096,6.19089507917693e-58,TRUE,0.544290687110202,Consistent direction,Substantial (>50% change)
"CENTRUM SILVER ULTRA WOMEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",Choking,26.0379944506172,8.80076109143167,5.40441408246714,14.8554388249858,2.37635782724996e-17,TRUE,0.337996887898678,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Emotional Distress,188.951707403681,37.0760991019749,23.26696449002,58.0153857573997,1.697702524997e-54,TRUE,0.196219973936328,Consistent direction,Substantial (>50% change)
CENTRUM SILVER ULTRA WOMENS MULTIMINERALS MULTIVITAMINS TABLET,Choking,69.2749201341819,32.8597272995501,17.178423373677,69.7431899683896,5.98385513464519e-23,TRUE,0.474338003362581,Consistent direction,Substantial (>50% change)
CENTRUM SILVER WOMEN'S 50+,Choking,5.98428565487528,2.40738635588862,1.66916210587116,3.44987681508977,1.97882657622707e-06,TRUE,0.402284665994741,Consistent direction,Substantial (>50% change)
CENTRUM SILVER WOMEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,Choking,26.4118243416474,17.9778598563613,10.2209320064748,33.7532869378747,1.4520524973654e-21,TRUE,0.680674671458152,Consistent direction,Moderate (20-50% change)
KRATOM,Dependence,47.9226870004116,21.1085442681338,15.5268163104165,28.5722092372694,1.0588328038851e-85,TRUE,0.440470799726913,Consistent direction,Substantial (>50% change)
KRATOM,Toxicity To Various Agents,167.994871794872,76.7109208271424,53.8822988500182,109.8225379372,1.9831726344619e-126,TRUE,0.456626562510844,Consistent direction,Substantial (>50% change)
PRESERVISION AREDS 2,Macular Degeneration,34.4058201010869,22.9087125974758,16.5823011218118,31.5212572141072,1.1025394034489e-81,TRUE,0.665838295095663,Consistent direction,Substantial (>50% change)
HYDROXYCUT REGULAR RAPID RELEASE CAPLETS,Liver Function Test Abnormal,49.7084645911968,33.615189504126,24.4382146591494,46.0195497210615,2.46002091592931e-105,TRUE,0.676246787756931,Consistent direction,Moderate (20-50% change)
CITRACAL PETITES (CHOLECALCIFEROL + CALCIUM CITRATE) FILM-COATED TABLET,Choking,38.8815172988745,30.3689759725267,15.5945034390939,66.6043306931526,1.1630716742601e-20,TRUE,0.781064579838447,Consistent direction,Moderate (20-50% change)
