count_bin,n_pairs,mean_prr,median_prr,mean_log_prr,pct_all4_methods
3-5,1754,Inf,10.23,Inf,67.3
6-10,806,Inf,6.82,Inf,69.4
11-20,300,31.26,6.99,3.19,80.7
21-50,113,56.07,6.75,3.17,91.2
51-100,29,13.48,6.89,3.09,96.6
>100,15,29.02,9.52,3.87,100
