product_clean,meddra_pt,a,expected,prr,prr_lower,prr_upper,chi2,prr_signal,ror,ror_lower,ror_upper,ror_signal,ebgm,eb05,eb95,gps_signal,ic,ic025,ic975,bcpnn_signal,n_methods,validation_status,validation_note
EXTENZE PLUS MALE ENHANCEMENT,Dizziness,3,0.29453316953317,10.1951983298539,4.97959075889703,20.8736167323272,17.5500598260641,TRUE,22.3851452426509,4.41463864557701,113.507529780862,TRUE,3.35171965775469,1.48059188466536,4.41977366634055,TRUE,2.13917556763911,1.09154903916566,3.18680209611257,TRUE,4,,
FEEL FREE KRATOM,Dependence,3,0.0366093366093366,82.4932432432433,46.4969495614362,146.356594249206,167.3028743703,TRUE,254.028871391076,37.4274809820033,1724.15203500479,TRUE,6.3491875463887,4.47805977329937,7.41724155497456,TRUE,2.70541086029136,1.65778433181791,3.75303738876482,TRUE,4,,
FERROUS SULFATE,Constipation,3,0.327538902538903,9.18531293114261,3.28292790778612,25.6996120575525,14.6974343534533,TRUE,12.3160031598479,3.82605833837332,39.6449610587675,TRUE,3.19863681644159,1.32750904335226,4.26669082502745,TRUE,2.08045588245021,1.03282935397676,3.12808241092367,TRUE,4,,
FERROUS SULFATE (NCH) (FERROUS SULFATE) UNKNOWN,Death,3,0.0775184275184275,38.7903097696585,36.7320056466555,40.9639524315783,77.7163079589765,TRUE,264.429932512902,13.6509157814592,5122.23431220258,TRUE,5.27328580425722,3.40215803116788,6.34133981284308,TRUE,2.59941603601748,1.55178950754402,3.64704256449093,TRUE,4,,
FIBER DRINK,Convulsion,3,0.0852784602784603,35.3024096385542,17.203087210254,72.4439811910879,69.5681273157212,TRUE,80.9243829018664,15.943193094556,410.75559388941,TRUE,5.13616826004818,3.26504048695885,6.20422226863404,TRUE,2.58015983211125,1.5325333036378,3.62778636058471,TRUE,4,,
FINEST NUTRITION FREE & PURE B-COMPLEX WITH VITAMIN C,Erythema,3,0.0599508599508599,50.2427983539095,28.4030093039711,88.875751136647,100.831366145021,TRUE,153.873657756454,22.691054992468,1043.4553421694,TRUE,5.6423567959987,3.77122902290937,6.71041080458456,TRUE,2.64398279194592,1.59635626347246,3.69160932041937,TRUE,4,,
FLINSTONES COMPLETE CHILDREN'S MULTIVITAMIN SUPPLEMENT CHEWABLE,Aphthous Stomatitis,3,0.000614250614250614,6976.71428571429,3326.16769752259,14633.8208565803,10172.708209626,TRUE,45575.1333333333,2161.72157665585,960851.203402588,TRUE,11.6677413186774,9.79661354558809,12.7357953272633,TRUE,2.80558365720541,1.75795712873196,3.85321018567887,TRUE,4,,
FLINSTONES COMPLETE CHILDREN'S MULTIVITAMIN SUPPLEMENT CHEWABLE,Decreased Appetite,3,0.0375307125307125,80.3240131578948,74.223177877474,86.9263116225012,163.62471795128,TRUE,554.8175842235,28.6261150010269,10753.207403539,TRUE,6.31362579437413,4.4424980212848,7.38167980295999,TRUE,2.70293582959188,1.65530930111842,3.75056235806534,TRUE,4,,
FLINSTONES COMPLETE CHILDRENS MULTIVITAMIN,Aphthous Stomatitis,3,0.000614250614250614,6976.71428571429,3326.16769752259,14633.8208565803,10172.708209626,TRUE,45575.1333333333,2161.72157665585,960851.203402588,TRUE,11.6677413186774,9.79661354558809,12.7357953272633,TRUE,2.80558365720541,1.75795712873196,3.85321018567887,TRUE,4,,
FLINSTONES COMPLETE CHILDRENS MULTIVITAMIN,Decreased Appetite,3,0.0375307125307125,80.3240131578948,74.223177877474,86.9263116225012,163.62471795128,TRUE,554.8175842235,28.6261150010269,10753.207403539,TRUE,6.31362579437413,4.4424980212848,7.38167980295999,TRUE,2.70293582959188,1.65530930111842,3.75056235806534,TRUE,4,,
FLINSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,Drug Dependence,3,0.073955773955774,41.0302521008403,14.9364561955526,112.709572164767,80.0295021158967,TRUE,57.8576533650983,17.377382634374,192.635917810441,TRUE,5.34088471225257,3.46975693916324,6.40893872083843,TRUE,2.6083434423312,1.56071691385774,3.65596997080465,TRUE,4,,
FLINSTONES GUMMIES,Overdose,3,0.0235462735462736,129.079295154185,62.3686760136863,267.144751218464,261.717490384468,TRUE,299.129230769231,58.7107886342534,1524.05203169742,TRUE,6.97917584841716,5.10804807532783,8.04722985700302,TRUE,2.74096596180336,1.6933394333299,3.78859249027681,TRUE,4,,
FLINSTONES GUMMIES (MULTIVITAMINS),Dependence,3,0.0823710073710074,36.6599099099099,14.484844481929,92.7831152263595,71.6272173329849,TRUE,58.6159903089037,15.9297519210823,215.686618154192,TRUE,5.18602804408908,3.31490027099975,6.25408205267494,TRUE,2.58734448243037,1.53971795395691,3.63497101090382,TRUE,4,,
FLINSTONES GUMMIES MULTIVITAMINS,Dependence,3,0.0732186732186732,41.2432432432432,16.7784407429766,101.380404727618,81.1902141518256,TRUE,69.2748747315677,18.0772786830114,265.471830867131,TRUE,5.35527506612823,3.48414729303889,6.42332907471409,TRUE,2.61019740922701,1.56257088075356,3.65782393770047,TRUE,4,,
FLINTSTONES COMPLETE,Premature Labour,3,0.0163595413595414,222.460486322188,66.0907364934622,748.798857455616,377.551026498579,TRUE,264.592406044169,79.3976945215142,881.75282365752,TRUE,7.49630623360213,5.6251784605128,8.56436024218799,TRUE,2.76090705225382,1.71328052378036,3.80853358072727,TRUE,4,,
FLINTSTONES COMPLETE (MULTIVITAMINS + MINERALS) CHEWABLE TABLET,Failure Of Child Resistant Mechanism For Pharmaceutical Product,3,0.00515970515970516,1016.75,235.920702053409,4381.89846631587,1207.37756241459,TRUE,1133.01326699834,269.148316370531,4769.56007195299,TRUE,9.1038231709199,7.23269539783057,10.1718771795058,TRUE,2.79254345201734,1.74491692354388,3.84016998049079,TRUE,4,,
FLINTSTONES COMPLETE CHEWABLE,Coeliac Disease,3,0.274324324324324,11.0009015100293,3.75330831261308,32.2435099793627,18.2408526802663,TRUE,13.8981049951752,4.5415517933574,42.5311283996434,TRUE,3.45415515244907,1.58302737935974,4.52220916103493,TRUE,2.17634505381701,1.12871852534356,3.22397158229047,TRUE,4,,
FLINTSTONES COMPLETE CHEWABLE,Overdose,3,0.136568386568387,22.2441136260064,7.55921924440578,65.4565736233753,41.1191270756703,TRUE,28.2058055152395,9.1819483617106,86.6447330591717,TRUE,4.45876759208759,2.58763981899825,5.52682160067345,TRUE,2.45896750570394,1.41134097723049,3.5065940341774,TRUE,4,,
FLINTSTONES COMPLETE MULTIVITAMINS + MINERALS CHEWABLE TABLET,Accidental Drug Intake By Child,3,0.0110565110565111,301.37037037037,100.348776162596,905.084283140742,560.839901330835,TRUE,400.666862170088,118.443367136365,1355.36449463144,TRUE,8.04869412934263,6.17756635625329,9.11674813792849,TRUE,2.77580018818276,1.7281736597093,3.82342671665621,TRUE,4,,
FLINTSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,Gastric Lavage,3,0.0175061425061425,213.960526315789,62.0270430458644,738.050769040841,352.554660232799,TRUE,250.569174311927,74.3687287959595,844.238057203041,TRUE,7.40034074941312,5.52921297632379,8.46839475799898,TRUE,2.75770703025463,1.71008050178118,3.80533355872809,TRUE,4,,
FLINTSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,Overdose,3,0.268427518427518,11.3106886158127,3.73109923051182,34.2879320704437,18.6617403739802,TRUE,13.7068454481299,4.61491671779807,40.7109431497089,TRUE,3.4854692443124,1.61434147122307,4.55352325289826,TRUE,2.18737383215803,1.13974730368458,3.23500036063149,TRUE,4,,
FLINTSTONES COMPLETE MULTIVITAMINS CHEWABLE TABLET,Stomach Discomfort,3,0.117874692874693,26.1992481203008,8.55646664234745,80.2200991086632,48.2964070820165,TRUE,31.7420481534951,10.5796280639705,95.2356372914555,TRUE,4.67061753104834,2.79948975795901,5.7386715396342,TRUE,2.50196873269627,1.45434220422282,3.54959526116973,TRUE,4,,
FLINTSTONES GUMMIES,Drug Dependence,3,0.121498771498772,24.9703324808184,8.63119185530402,72.2400237018775,46.8316767624893,TRUE,32.4507183427999,10.3760367169497,101.488569257232,TRUE,4.62704302973972,2.75591525665039,5.69509703832558,TRUE,2.49353147740394,1.44590494893049,3.5411580058774,TRUE,4,,
FLINTSTONES GUMMIES MULTIVITAMINS,Drug Abuser,3,0.00626535626535627,574.388235294118,182.81921333571,1804.63441902278,993.266958190261,TRUE,760.08787541713,213.66178833433,2703.96303831414,TRUE,8.8382578417194,6.96713006863006,9.90631185030526,TRUE,2.78938925293071,1.74176272445726,3.83701578140417,TRUE,4,,
FLINTSTONES GUMMIES MULTIVITAMINS ORAL DROPS,Dependence,3,0.0823710073710074,36.6599099099099,14.484844481929,92.7831152263595,71.6272173329849,TRUE,58.6159903089037,15.9297519210823,215.686618154192,TRUE,5.18602804408908,3.31490027099975,6.25408205267494,TRUE,2.58734448243037,1.53971795395691,3.63497101090382,TRUE,4,,
FLINTSTONES GUMMIES MULTIVITAMINS ORAL DROPS,Drug Dependence,3,0.0475429975429976,63.8313725490196,25.1338934728462,162.109548442768,127.202763435825,TRUE,102.374077976818,27.753540466025,377.625761096441,TRUE,5.97496306532821,4.10383529223888,7.04301707391407,TRUE,2.67631075559856,1.6286842271251,3.72393728407201,TRUE,4,,
FLINTSTONES MULTIVITAMINS,Drug Dependence,3,0.0316953316953317,95.7529411764706,42.6187497974845,215.131269394622,193.266174413661,TRUE,190.135029354207,42.9923325150603,840.878530488231,TRUE,6.55524641381748,4.68411864072815,7.62330042240334,TRUE,2.7186832173844,1.67105668891094,3.76630974585785,TRUE,4,,
FLINTSTONES UNKNOWN MULTIVITAMINS,Drug Dependence,3,0.036977886977887,82.072268907563,34.5867515078439,194.752528930267,164.951795270168,TRUE,147.879756468798,36.3834629676926,601.053901677511,TRUE,6.33485748542894,4.46372971233961,7.4029114940148,TRUE,2.70442033842554,1.65679380995209,3.752046866899,TRUE,4,,
