product_clean,meddra_pt,a,n_product,n_pt,b,c,d,N_total,prr,chi2,prr_signal,ror,ror_se,ror_lower,ror_signal,expected,eb05,gps_signal,ic,ic_var,ic025,bcpnn_signal,n_methods,robust_signal,analysis
EU NATURAL CONCEPTION FOR HER FERTILITY AID AND MULTI,Ectopic Pregnancy,4,20,12,16,8,43141,43169,1078.725,2198.05234093402,TRUE,1384.2192513369,0.632849524917983,400.416987709307,TRUE,0.00555954504389724,7.86157132108847,TRUE,3.15397207288515,0.222199057451206,2.2300673704918,TRUE,4,TRUE,no_formulation
EVINATURE CURQD-2,Abdominal Pain,3,3,1676,0,1673,41493,43169,25.8015540944411,50.7509760682769,TRUE,173.561099492082,1.51206346954067,8.96103107364483,TRUE,0.116472468669647,2.81796793357211,TRUE,2.50524655086621,0.28569112094327,1.45762495400231,TRUE,4,TRUE,no_formulation
EVINATURE CURQD-2,Intestinal Obstruction,3,3,211,0,208,42958,43169,207.528846153846,423.347365093866,TRUE,1442.25179856115,1.51345093315377,74.2618299714911,TRUE,0.014663300053279,5.77842499848069,TRUE,2.76565410737288,0.28569112094327,1.71803251050898,TRUE,4,TRUE,no_formulation
EVINATURE CURQD-4,Abdominal Pain,3,3,1676,0,1673,41493,43169,25.8015540944411,50.7509760682769,TRUE,173.561099492082,1.51206346954067,8.96103107364483,TRUE,0.116472468669647,2.81796793357211,TRUE,2.50524655086621,0.28569112094327,1.45762495400231,TRUE,4,TRUE,no_formulation
EVINATURE CURQD-4,Intestinal Obstruction,3,3,211,0,208,42958,43169,207.528846153846,423.347365093866,TRUE,1442.25179856115,1.51345093315377,74.2618299714911,TRUE,0.014663300053279,5.77842499848069,TRUE,2.76565410737288,0.28569112094327,1.71803251050898,TRUE,4,TRUE,no_formulation
EXTENZE,Blood Pressure Increased,7,27,1929,20,1922,41220,43169,5.81943962693182,24.3269908590904,TRUE,7.84430207110914,0.427385349489991,3.39434948327422,TRUE,1.20649076883875,1.44835368629356,TRUE,2.13585798532444,0.133310168562317,1.42022935010293,TRUE,4,TRUE,no_formulation
EXTENZE,Chills,4,27,450,23,446,42696,43169,14.3305098820794,37.2167396641152,TRUE,18.311143408544,0.516757657410541,6.6503188137046,TRUE,0.281451967847298,2.28478923487462,TRUE,2.52569589601338,0.222199057451206,1.60179119362002,TRUE,4,TRUE,no_formulation
EXTENZE,Heart Rate Increased,4,27,1482,23,1478,41664,43169,4.32436225129053,7.40135605265145,TRUE,5.39621813367487,0.515243414452351,1.96564664040148,TRUE,0.926915147443768,0.566469746414677,FALSE,1.6570254549971,0.222199057451206,0.733120752603747,TRUE,3,TRUE,no_formulation
EXTENZE,Hyperhidrosis,3,27,755,24,752,42390,43169,6.37440898345154,8.86829323425363,TRUE,8.04755576649264,0.572610780627279,2.61967767083042,TRUE,0.472213857166022,0.801726214219844,FALSE,1.84800931963988,0.28569112094327,0.800387722775982,TRUE,3,TRUE,no_formulation
EXTENZE,Pyrexia,3,27,505,24,502,42640,43169,9.54891544931385,15.2919631374799,TRUE,12.1223880597015,0.573187677710139,3.94167652809626,TRUE,0.315851652806412,1.38139875059953,TRUE,2.10097616771028,0.28569112094327,1.05335457084638,TRUE,4,TRUE,no_formulation
EXTENZE,Tremor,3,27,796,24,793,42349,43169,6.04483676614824,8.2080448306,TRUE,7.62435862813935,0.572550840292862,2.48220817619656,TRUE,0.497857258680998,0.725488617135267,FALSE,1.81044956102314,0.28569112094327,0.762827964159243,TRUE,3,TRUE,no_formulation
EXTENZE,Vomiting,8,27,3595,19,3587,39555,43169,3.56365063139527,13.3878773327562,TRUE,4.8061717144644,0.411379553070596,2.14598132480468,TRUE,2.24848849869119,0.826909756691072,FALSE,1.62882439895522,0.117623894052513,0.956616134060971,TRUE,3,TRUE,no_formulation
EXTENZE PLUS,Abdominal Pain Upper,5,25,2004,20,1999,41145,43169,4.31655827913957,10.0827336633155,TRUE,5.52089851731226,0.480752637692898,2.15171554536282,TRUE,1.16055502791355,0.768466386689037,FALSE,1.72776608659308,0.181795017047166,0.892072519854413,TRUE,3,TRUE,no_formulation
