product_clean,meddra_pt,a,prr,n_methods,cbi_reason
BENEFIBER WITH WHEAT DEXTRIN,Flatulence,4,6.76091476091476,4,Fibre supplement taken for bowel conditions
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",Osteoporosis,4,42.1356957649093,4,Calcium supplement taken for osteoporosis
HERBALIFE ACTIVE FIBER COMPLEX,Abdominal Pain,4,9.56286721504113,4,Fibre supplement taken for bowel conditions
HYDROXYCUT HARDCORE CAPSULES,Obesity,4,47.9773454814085,4,Weight loss product taken for obesity
PRESERVISION AREDS,Age-Related Macular Degeneration,4,37.1576542269612,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS,Blindness,4,21.693196976434,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS,Macular Degeneration,4,12.8086111840378,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS,Visual Impairment,4,12.3451417004049,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA,Age-Related Macular Degeneration,4,16.7800258286698,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 MULTIVITAMIN SOFT GELS,Macular Degeneration,4,21.4946603545084,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Blindness,4,20.5086705202312,4,Eye supplement taken for macular degeneration
PREVAGEN REGULAR STRENGTH,Memory Impairment,4,16.0510078157137,4,Cognitive supplement taken for memory loss
SUPER BETA PROSTATE,Blood Urine,4,15.7233201581028,4,Prostate supplement taken for BPH
SUPER BETA PROSTATE,Haemorrhage Urinary Tract,4,14.4130434782609,4,Prostate supplement taken for BPH
BENEFIBER STICK PACKS (WHEAT DEXTRIN) POWDER,Constipation,4,5.48244677863282,3,Fibre supplement taken for bowel conditions
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Flatulence,4,3.40474152238858,3,Fibre supplement taken for bowel conditions
BENEFIBER WITH WHEAT DEXTRIN (NCH)(WHEAT DEXTRIN) POWDER,Diarrhoea,4,5.64578696343402,3,Fibre supplement taken for bowel conditions
SUPER BETA PROSTATE,Urine Output Decreased,4,6.17701863354037,3,Prostate supplement taken for BPH
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Frequent Bowel Movements,3,13.9575057295646,4,Fibre supplement taken for bowel conditions
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,Irritable Bowel Syndrome,3,13.6473389355742,4,Fibre supplement taken for bowel conditions
HYDROXYCUT CAFFEINE FREE CAPLETS,Obesity,3,326.959821428571,4,Weight loss product taken for obesity
HYDROXYCUT WITH EPHEDRA,Obesity,3,163.433035714286,4,Weight loss product taken for obesity
PRESERVISION AREDS 2 FORMULA,Blindness Unilateral,3,23.9827727645611,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA CHEWABLES,Blindness,3,16.8241379310345,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 FORMULA CHEWABLES,Neovascular Age-Related Macular Degeneration,3,66.5318181818182,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Age-Related Macular Degeneration,3,9.06217423678332,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 FORMULA SOFT GELS (CAPSULE, SOFT)",Visual Acuity Reduced,3,9.939158840343,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS 2 MULTIVITAMIN SOFT GELS,Visual Impairment,3,15.4867265996827,4,Eye supplement taken for macular degeneration
"PRESERVISION AREDS 2 SOFT GELS (CAPSULE, SOFT)",Visual Field Defect,3,120.954545454545,4,Eye supplement taken for macular degeneration
PRESERVISION AREDS SOFT GELS,Macular Degeneration,3,11.8556851311953,4,Eye supplement taken for macular degeneration
SLOW FE BROWN (NCH) (FERROUS SULFATE) TABLET,Anaemia,3,22.4090909090909,4,Iron supplement taken for anaemia
SUPER BETA PROSTATE P3 ADVANCED,Prostatic Disorder,3,19.4340175953079,4,Prostate supplement taken for BPH
SUPER BETA PROSTATE P3 ADVANCED,Prostatomegaly,3,8.8596256684492,4,Prostate supplement taken for BPH
SUPER BETA PROSTATE P3 ADVANCED,Urine Output Decreased,3,20.7742946708464,4,Prostate supplement taken for BPH
ZENWISE HEALTH CALMING SLEEP SUPPORT WITH MELATONIN,Insomnia,3,42.5895348837209,4,Sleep supplement taken for insomnia
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,Constipation,3,4.73027718550107,3,Fibre supplement taken for bowel conditions
HERBAL CLEANSE WITH CITRUS FIBER DRINK,Abdominal Pain,3,5.05920348174502,3,Fibre supplement taken for bowel conditions
HERBALIFE FLORAFIBER,Constipation,3,5.20362473347548,3,Fibre supplement taken for bowel conditions
HYDROXYCUT CAFFEINE-FREE CAPLETS,Weight Decreased,3,5.46268656716418,3,Weight loss product taken for obesity
PURITAN'S PRIDE PROBIOTIC ACIDOPHILUS,Diarrhoea,3,6.65239306148397,3,Probiotic taken for GI conditions
